sku;product-id;product-id-type;price;quantity;state;update-delete;canon;tipo-iva
910-005166;5099206072138;EAN;162,84;0;11;update;0.00;21.00
TQSC0016;8433281013506;EAN;10,23;7;11;update;0.00;21.00
FS20205M-B;8433281013490;EAN;177,14;104;11;update;0.00;21.00
FSM01-B;8433281013681;EAN;558,05;24;11;update;0.00;21.00
FSM02-B;8433281013698;EAN;684,61;0;11;update;0.00;21.00
DB5032TNR-B;8433281013704;EAN;39,50;2;11;update;0.00;21.00
DB5132TNR-B;8433281013711;EAN;53,35;6;11;update;0.00;21.00
LPCE1123TSLI-B;8433281013728;EAN;33,84;2;11;update;0.00;21.00
DT32TSR-147;8436574708547;EAN;27,69;1;11;update;0.00;21.00
A127-0720;8436574708769;EAN;33,35;1;11;update;0.00;21.00
CT43S-187;8436574709070;EAN;24,73;1;11;update;0.00;21.00
SPK02U-191;8436574709124;EAN;13,53;2;11;update;0.00;21.00
SPK01U-189;8436574709117;EAN;22,62;0;11;update;0.00;21.00
DTL32TSR-195;8436574709100;EAN;73,62;3;11;update;0.00;21.00
DTL32TSR-193;8436574709094;EAN;45,18;1;11;update;0.00;21.00
FT86TRE-197;8436574709087;EAN;148,06;140;11;update;0.00;21.00
DB1704TN-B;8433281013810;EAN;58,21;1;11;update;0.00;21.00
FS1886M-B;8433281013773;EAN;150,42;51;11;update;0.00;21.00
ASPS-3A1CL01-W;8436574709216;EAN;25,16;1;11;update;0.00;21.00
ASPS-2A1CLPQ02-W;8436574709223;EAN;26,95;0;11;update;0.00;21.00
VW70TPO-199;8436574709285;EAN;62,79;1;11;update;0.00;21.00
MPC03-201;8436574709292;EAN;28,72;1;11;update;0.00;21.00
MPC04-203;8436574709308;EAN;33,27;2;11;update;0.00;21.00
FT55TE-213;8436574709353;EAN;71,45;186;11;update;0.00;21.00
FT70TE-211;8436574709360;EAN;102,79;182;11;update;0.00;21.00
FT86FE-143;8436574708271;EAN;177,64;57;11;update;0.00;21.00
DT32TSR-139;8436574708288;EAN;31,50;1;11;update;0.00;21.00
DT32TSR-141;8436574708295;EAN;48,24;2;11;update;0.00;21.00
WT42F-157;8436574708486;EAN;11,46;1;11;update;0.00;21.00
WT42T-159;8436574708493;EAN;13,03;13;11;update;0.00;21.00
WT55TSE-151;8436574708509;EAN;18,77;20;11;update;0.00;21.00
WT55TSE-153;8436574708516;EAN;21,35;2;11;update;0.00;21.00
WT120TSLE-163;8436574708530;EAN;127,09;190;11;update;0.00;21.00
DT32TSR-149;8436574708554;EAN;34,88;4;11;update;0.00;21.00
DT32TSR-165;8436574708561;EAN;39,68;1;11;update;0.00;21.00
MPC02-155;8436574708578;EAN;12,95;1;11;update;0.00;21.00
MSF2P-167;8436574708585;EAN;60,45;0;11;update;0.00;21.00
FT70TE-169;8436574708684;EAN;245,34;44;11;update;0.00;21.00
FT100TE-171;8436574708691;EAN;302,20;131;11;update;0.00;21.00
MS2PXXL-183;8436574708776;EAN;25,45;3;11;update;0.00;21.00
LPS2M-173;8436574708783;EAN;13,43;4;11;update;0.00;21.00
LPS2M-175;8436574708790;EAN;13,43;1;11;update;0.00;21.00
LPS3M-177;8436574708806;EAN;17,24;1;11;update;0.00;21.00
LPS3M-179;8436574708813;EAN;18,21;0;11;update;0.00;21.00
LPS4XL-181;8436574708820;EAN;27,24;1;11;update;0.00;21.00
10.37.0004-NS;8433281014015;EAN;14,01;0;11;update;0.00;21.00
10.37.0004-NS-BK;8433281014022;EAN;14,72;4;11;update;0.00;21.00
10.37.0006-NS;8433281014039;EAN;15,09;1;11;update;0.00;21.00
10.37.0006-NS-BK;8433281014046;EAN;15,09;1;11;update;0.00;21.00
10.38.0003;8433281013995;EAN;14,31;1;11;update;0.00;21.00
10.38.0003-BK;8433281014008;EAN;14,38;0;11;update;0.00;21.00
10.38.0003-NS;8433281013971;EAN;13,99;7;11;update;0.00;21.00
10.38.0003-NS-BK;8433281013988;EAN;13,66;1;11;update;0.00;21.00
FS20404HM-B;8433281013759;EAN;404,90;120;11;update;0.00;21.00
LPHA7090;8433281014213;EAN;518,20;112;11;update;0.00;21.00
TQPM0002;8433281014206;EAN;59,68;3;11;update;0.00;21.00
MPC07-209;8436574709384;EAN;17,18;12;11;update;0.00;21.00
MPC05-205;8436574709339;EAN;14,62;1;11;update;0.00;21.00
MPC06-207;8436574709346;EAN;21,37;2;11;update;0.00;21.00
ASPS-2A2C04-W;8436574709445;EAN;23,29;1;11;update;0.00;21.00
ASPS-2A2C05-BK;8436574709452;EAN;23,29;1;11;update;0.00;21.00
DT55S-217;8436574709612;EAN;41,35;22;11;update;0.00;21.00
PH-HERMES-LUNA;8433281014275;EAN;20,18;0;11;update;0.00;21.00
PH-HERMES-HALLEY;8433281014268;EAN;18,97;2;11;update;0.00;21.00
956-000050;59028;EAN;14,98;0;11;update;0.00;21.00
ACC-HYTE-LS10-B-3;1220000350687;EAN;32,32;4;11;update;0.00;21.00
ACC-HYTE-LS10-B-3NP;1220000350694;EAN;48,90;4;11;update;0.00;21.00
ACC-HYTE-LS30-B-2;1220000350700;EAN;33,98;3;11;update;0.00;21.00
ACC-HYTE-LS30-B-2NP;1220000350717;EAN;48,90;2;11;update;0.00;21.00
DB1801TN-B;8433281014367;EAN;27,13;1;11;update;0.00;21.00
DB1802TN-B;8433281014374;EAN;31,16;2;11;update;0.00;21.00
COO-BLU53-1;8437012429994;EAN;13,80;10;11;update;0.00;21.00
ASUC-8P010-GR;8436574709407;EAN;41,39;1;11;update;0.00;21.00
